date,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
2020-05-15,24,34.79,37,37,38.28,41.150000000000006,41.980000000000004,45.239999999999995,49.2,52.41,54,54.13,54.959999999999994,55,58.10000000000001,62.25,65.28,66,66,67.53999999999999,69.80000000000001,71.43,74.34000000000002,81.17999999999999,82.83999999999999,83,83.58,91.79,103,103.13999999999999,104.80000000000001,107.92,109.56,111.17,113.22,114.15,116.63999999999999,118.41999999999999,119.53999999999999,120.74000000000001,123.40000000000002,129.03,129.86,132.07,133,133.35000000000002,134.18,135.01,135.84,136,137,142.28999999999996,151.48000000000002,153.97000000000003,157.28000000000003,158.65,159.48000000000002,161.24,164,164,167.2,170.51999999999998,174.3,177.29000000000002,178.60000000000002,182.75000000000003,184.56,187.44000000000003,190.32000000000002,192.54000000000002,195.40000000000012,207.01999999999998,211.04,216.12999999999997,222.78000000000003,228.25,229.16000000000003,230.82,242.10000000000014,247.71,251.40000000000003,256.84000000000003,263.36,268.34,281.96,294.15,304.93999999999994,315.7299999999999,327.0400000000002,348.6200000000001,375.1000000000001,410.44000000000005,459.63999999999993,524.6699999999998,600.9400000000005,639.9500000000004,699.3599999999994,751.0299999999995,877.300000000001,1080.3300000000002,1121
2020-05-16,24,34.79,37,37.980000000000004,39.64,41.300000000000004,42.96,47.050000000000004,49.92,52.41,54,54.260000000000005,55.92,56.79,59.480000000000004,62.8,65.28,66,66,67.53999999999999,69.80000000000001,71.43,74.34000000000002,81.27,83.75999999999999,89.25,92.74000000000001,98.1,104.48,106.21,108.7,110.46,111.56,113.17,116.10000000000001,120,120,120.71000000000001,122.62,126.22000000000003,130.2,131.06,132.72,133.69,135.04000000000002,136.7,138,138.01,138.83999999999997,139,141.5,147.29999999999998,154.32000000000002,155.98000000000002,157.64000000000001,160.60000000000002,162.48000000000002,163.62,165.14,165.97,169.2,176.29999999999995,180,180.29,181.48000000000002,184.8,185,189.27000000000004,192,193.35000000000002,198.80000000000013,213.73999999999998,218.79999999999998,221.17999999999998,226.62,234,237.16000000000003,238.82,246.4000000000001,254.13000000000005,258.8,262.07000000000005,269.48,276.12,284.2,298.54999999999995,309.9,315.93999999999994,328.1200000000002,351.3600000000001,376.00000000000006,414.68000000000006,471.5999999999999,542.1499999999999,611.9200000000004,650.1000000000004,712.0799999999995,770.1299999999994,894.8400000000009,1085.5,1127
2020-05-17,24,34.79,37.66,39.47,41.64,43.15,43.98,48.86000000000001,50.64,52.41,54.3,55.260000000000005,56.92,57,60.72,64.35,66,66,66,68.31,70.2,71.43,74.60000000000002,82.27,84.75999999999999,89.5,98.54000000000002,106.87,111.48000000000002,113,113,113,115.24000000000001,118.17,120,120.30000000000003,125.28,129.55,131,131.74,133.2,134.12,137.44,138,138,138.35,139,139.01999999999998,140.68,144.35000000000002,148,151.32,154.64000000000004,157.95999999999998,158,161.25000000000003,163.96,165.62,167.14,167.97,170.39999999999998,176.66999999999996,180,180.29,181.60000000000002,185.75,188.34,190.83,194.64000000000004,199.08000000000004,203.80000000000015,218.74,220,222.95,228.78,235.75,241.64,248.27999999999997,250.48000000000002,258.4100000000001,264,266.99000000000007,277.18,279.67,285.03999999999996,298.54999999999995,312.93999999999994,323.30999999999995,333.0400000000002,354.6200000000001,376.9000000000001,416.2700000000001,476.03999999999996,549.5299999999997,620.9800000000005,661.6500000000003,718.6399999999994,780.7599999999993,906.4000000000008,1087.8600000000001,1136
2020-05-18,24,34.79,38.980000000000004,40.489999999999995,43.24,48.15,48.98,50.62,52.92,54,54.6,56.260000000000005,57.92,58.790000000000006,63.34,66,66.56,68.11,68.94,69.77,70.6,71.43,74.86000000000001,83.27000000000001,85.75999999999999,92,99.80000000000001,106.87,111.96000000000001,115.07,115.9,116.73,117.56,119.17,122.54000000000002,128.10000000000002,129.76,132.13,133.54,134.37,135.60000000000002,138.03,138.86,139,140.04000000000002,141.35000000000002,142,142.01,142.83999999999997,146.35000000000002,151.5,155.32999999999998,156.32,157.98,162.10000000000002,163.65,165.92000000000002,168,168.14,168.97,174.59999999999997,179.14999999999998,183.76,187,187.12,187.95,191.12,193.22000000000003,196.20000000000005,201.43000000000004,209.30000000000013,220.09,224.04,226.76999999999998,230.94,237.5,245.4,249.54999999999998,258.8800000000001,265.99,269,272.45000000000005,284,284,290.48,306.7499999999999,319.52,324.0999999999999,333.1200000000002,356.3600000000001,385.2000000000001,427.80000000000007,487.31999999999994,558.3899999999999,624.9800000000005,665.6500000000004,721.2799999999995,791.4299999999992,921.6600000000008,1095.3500000000001,1141
2020-05-19,24,34.79,38.980000000000004,40.489999999999995,43.24,48.3,49.96,51.620000000000005,53.28,54.94,56.6,58,58,61.16000000000001,64.48,66.9,68.84,71,71,71,71.6,73.28999999999999,77.34000000000002,84.36,87.67999999999999,94,102.38000000000002,107.41,109.68,115.07,115.9,118.19,120.12,123.73,129.54000000000002,135,135,135,135,135.74,137.2,138.09,140.57999999999998,141.69,143.56,145,146.07999999999998,151,151,151.67000000000002,154.5,157.66,159.48000000000002,161.97000000000003,163.64,165.3,167.92000000000002,170.31,171.27999999999997,172.94,177.79999999999995,181.51999999999998,184.38,187.74,192.24,193.9,194,194.61,201.16000000000005,211.16000000000003,217.90000000000006,225.37,230.56,234.35999999999999,236.42000000000002,240.75,252.24,254.73,264.6200000000001,268.57,270.20000000000005,275.22,286.06,286.89,293.48,310.8499999999999,323,324.88999999999993,333.1200000000002,356.3600000000001,395.0000000000001,438.62000000000006,498.91999999999996,573.53999999999985,628.3200000000006,683.1000000000005,731.7599999999995,795.3899999999992,924.6800000000009,1102.5600000000002,1159
2020-05-20,24,34.79,38.980000000000004,40.489999999999995,42.28,46.050000000000004,51.86,53.62,54.64,55,56.5,60.260000000000005,61.919999999999995,62.790000000000006,64.86,67.35,69.56,71,71,71.77,73.2,75.72,79.56,84.36,87.67999999999999,94,102.38000000000002,107.41,109.92000000000002,116.13999999999999,117.8,123.84,128.24,130.39,131.88,135.05,135.88,136.71,138.62,140.74,142.2,143.06,144.72,147.07,149.04000000000002,150.7,152.9,157.05000000000004,161.2,164.68,168,170.66,172,172,172.82,173.65,174.96,176.62,178.56,181.88,184.4,186.89,188,190.03,195.24,196.89999999999998,204.02,207.22000000000003,212.84000000000006,219.54000000000002,222.00000000000006,230.29999999999998,235.55999999999997,237.58999999999997,239.26,243.5,251.64,258.28,270.10000000000014,275.14,278,283.3,291.3,295.45,296,311.3999999999999,325.52,329.88999999999993,338.1200000000002,361.3600000000001,402.8000000000002,443.9100000000001,504.5199999999999,584.2099999999998,633.4200000000008,692.3500000000006,736.9999999999995,801.4499999999991,933.6800000000009,1111.5600000000002,1168
2020-05-21,24,34.79,38.980000000000004,40.489999999999995,42.28,46.50000000000001,54.8,55,56.28,59.349999999999994,62,62.13,62.959999999999994,63,65.48,68.8,71,71.33,73.82,74,74.6,78.00999999999999,83.82000000000001,89,89,95,104.54000000000002,112.46,116.48,118.07,118.89999999999999,126.30000000000001,129.56,131.95,135.44,137.05,137.88,140.13,141.54000000000002,142,142.60000000000002,145.06,146.72,147.69,149.04000000000002,152.45000000000002,157,157.05000000000004,161.2,169.37,174,175.32999999999998,176,176,176,179.90000000000003,182,182.31,183.41999999999996,185.91,187.6,189.26,192.3,197.02999999999997,202.24,203.9,214.92000000000002,219.22000000000003,220.88,226.32000000000005,238.3,240.79000000000002,243.28,244.59,245.42,248,255.91999999999996,275.8399999999999,278,283.1300000000001,289.40000000000003,293.69,296.18,298.67,311.24,324.24999999999994,331,332.25999999999993,338.4400000000002,368.32000000000016,408.70000000000016,449.44000000000005,511.5999999999999,593.5899999999999,644.3200000000006,699.1000000000005,745.7199999999996,804.3099999999993,934.7800000000009,1121.88,1175
2020-05-22,24,34.79,38.980000000000004,40.489999999999995,42.28,46.50000000000001,54.8,56.620000000000005,57.64,60.349999999999994,63,63,63,66.16000000000001,69.48,71,71.28,72.33,74.82,76.53999999999999,77.6,82.72999999999999,89.25999999999999,90,90,99,107.22000000000003,114.28,119.24000000000001,120.21,122.69999999999999,128.11,130.56,133.34,137.66000000000003,140.10000000000002,141.76,143.42000000000002,145.07999999999998,146.37,147,147.24,153.88,155,156.04000000000002,157.70000000000002,159.72,163.09000000000003,170.55999999999997,173.34,175,176.32999999999998,177.16000000000003,177.99,179.64,181.3,182.96,184.62,186.42,188.91,192.2,194.26,196.84,201.89999999999998,209.60000000000002,213.75,221.02,223.61,231.04000000000008,241.62,246.20000000000002,247.86,248.76,250.17999999999998,253.52000000000004,258,262.76,281.02,288.9200000000001,295.56000000000006,299.4,300.23,301.24,304.56,322.28,333.4,337.76,339,340.48000000000025,371.19000000000017,411.70000000000016,455.09000000000003,529.68,623.51,649.120000000001,737.1000000000009,761.8399999999999,810.8799999999992,943.7600000000009,1129.73,1187
2020-05-23,24,34.79,38.980000000000004,40.489999999999995,42.28,46.50000000000001,54.8,56.620000000000005,60.84,63.47,64.3,65.26,66.92,68.58,70.24,71.45,72.84,75.11000000000001,75.94000000000001,76.77,77.6,83.16,90.25999999999999,91.18,92.84,100.5,108.22000000000001,114.87,119.48000000000002,121.27999999999999,124.6,131.57,134.56,136.17000000000002,138.66000000000003,141.1,142.76,145.13,146.54000000000002,147.74,150,154.09,156.58,157.69,161.12,164,164,164.11000000000007,173.23999999999995,175.67000000000002,177,179.32,182,182,183.64,184.65,185.48000000000002,186.31,187.27999999999997,188.94,194.59999999999997,198.51999999999998,200.92000000000002,207.8,222.48000000000002,225.8,226,226.61,232.72000000000006,242.70000000000005,250.20000000000002,251.86,252.76,255.95,263.04,272.75,281.72,289.18999999999994,295.9200000000001,301.99,305.4,306.69,309.18,311.67,331.43999999999994,340.65,342.76,344.41999999999996,347.6400000000002,381.6700000000002,426.90000000000015,463.08000000000004,537.2399999999999,640.9000000000001,651.3400000000013,748.450000000001,777.56,821.7599999999993,947.4000000000009,1132.77,1200
